Date : 2023-10-02 00:35:37
Directory : c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0
Total : 71 files,  26187 codes, 361 comments, 447 blanks, all 26995 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          3 |     20,483 |          0 |          3 |     20,486 |
| JavaScript JSX |         33 |      3,778 |        264 |        308 |      4,350 |
| JavaScript     |         28 |      1,680 |         74 |        102 |      1,856 |
| Markdown       |          1 |        122 |          0 |         13 |        135 |
| CSS            |          4 |        103 |          0 |         20 |        123 |
| HTML           |          1 |         20 |         23 |          1 |         44 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |         71 |     26,187 |        361 |        447 |     26,995 |
| . (Files)                                                                                                                             |          4 |     20,595 |          2 |         15 |     20,612 |
| public                                                                                                                                |          2 |         45 |         23 |          2 |         70 |
| src                                                                                                                                   |         65 |      5,547 |        336 |        430 |      6,313 |
| src (Files)                                                                                                                           |          9 |        118 |         15 |         24 |        157 |
| src\Config                                                                                                                            |          1 |         10 |          0 |          2 |         12 |
| src\State                                                                                                                             |         13 |        637 |         18 |         63 |        718 |
| src\State (Files)                                                                                                                     |          1 |         13 |          0 |          2 |         15 |
| src\State\Auth                                                                                                                        |          3 |        146 |          0 |         19 |        165 |
| src\State\Cart                                                                                                                        |          3 |        202 |         17 |         14 |        233 |
| src\State\Order                                                                                                                       |          3 |        150 |          0 |         16 |        166 |
| src\State\Product                                                                                                                     |          3 |        126 |          1 |         12 |        139 |
| src\customer                                                                                                                          |         39 |      3,931 |        303 |        336 |      4,570 |
| src\customer\Auth                                                                                                                     |          4 |        291 |          8 |         21 |        320 |
| src\customer\add-to-cart                                                                                                              |          1 |         56 |          0 |          7 |         63 |
| src\customer\cart-qty                                                                                                                 |          1 |         53 |          0 |          9 |         62 |
| src\customer\components                                                                                                               |         33 |      3,531 |        295 |        299 |      4,125 |
| src\customer\components\Footer                                                                                                        |          3 |         93 |         22 |          5 |        120 |
| src\customer\components\HomeCarousel                                                                                                  |          4 |        118 |          0 |         19 |        137 |
| src\customer\components\HomeCarousel (Files)                                                                                          |          3 |         95 |          0 |         11 |        106 |
| src\customer\components\HomeCarousel\Carousel                                                                                         |          1 |         23 |          0 |          8 |         31 |
| src\customer\components\HomeSectionCard                                                                                               |          1 |         23 |          0 |          4 |         27 |
| src\customer\components\HomeSectionCarousel                                                                                           |          1 |         79 |          1 |          9 |         89 |
| src\customer\components\Pages                                                                                                         |          1 |         42 |          0 |          4 |         46 |
| src\customer\components\Pages\HomePage                                                                                                |          1 |         42 |          0 |          4 |         46 |
| src\customer\components\Product                                                                                                       |         10 |      1,375 |        205 |        138 |      1,718 |
| src\customer\components\address-card                                                                                                  |          1 |         16 |          0 |          3 |         19 |
| src\customer\components\cart                                                                                                          |          2 |        184 |          5 |         21 |        210 |
| src\customer\components\checkout                                                                                                      |          4 |        536 |          4 |         26 |        566 |
| src\customer\components\navigation                                                                                                    |          1 |        654 |         17 |         34 |        705 |
